date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-12 16:16:09,Leonard38572177,suzanaregina17,1,1,11,"Eita que a jornazista deu o furo e nao aguentou a materia hein . Saiu toda esbagaçada",,,,1227627461539659776,https://twitter.com/Leonard38572177/status/1227627461539659776
2020-02-12 16:13:44,Ezelimafoz73,opropriopontes,0,0,0,"Ditaduras... é assim falou..... é prende ....prende....prende.....hahahahaha.ja deu seu furo hj...??",,,,1227626852908400642,https://twitter.com/Ezelimafoz73/status/1227626852908400642
2020-02-12 16:12:25,carlosff1984,carlosff1984,0,0,0,"Putz o argumento ""bolsominion"" so faltou vc perguntar cade o queiroz quem mandou matar mariele kkkkkkkk Realmente foi um furo de reportagem q a jornalista da foia deu ",,,,1227626519746490369,https://twitter.com/carlosff1984/status/1227626519746490369
2020-02-12 16:11:02,Eyglison1,villela206,0,0,0,"@MiriamLeitaoCom @taliriapetrone @veramagalhaes deu furo ou não? ",,@MiriamLeitaoCom @taliriapetrone @veramagalhaes,,1227626172520988672,https://twitter.com/Eyglison1/status/1227626172520988672
2020-02-12 16:10:39,ValcirZeLeo,leandroruschel,0,0,0,"Ninguém vai se retratar. Globolixo a Folhixo, a Vera Magalixo, Mirialixo, e + lixos estão defendendo a jornalista que ""deu o furo"" de reportagem. O objetivo é desqualificar o Hans River, só q a jornalista furo ganhou prêmio com o ""furo"". O crime aconteceu só q ela trocou o autor.",,,,1227626076626653184,https://twitter.com/ValcirZeLeo/status/1227626076626653184
2020-02-12 16:06:12,educriago,oswaldojor,0,0,1,"ELA DEU O FURO JORANALISTICO !! AHAHAHHAHAHA ",,,,1227624955451449344,https://twitter.com/educriago/status/1227624955451449344
2020-02-12 16:03:07,Obreirodenis,,0,0,0,"Deu furo, que coisa Patrícia ",,,,1227624179857489920,https://twitter.com/Obreirodenis/status/1227624179857489920
2020-02-12 16:03:02,Lucas1cma,Radio98Oficial,0,0,1,"Ops, e a emissora que deu esse furo de ""reportagem"" ? Que moral ela tem pra dizer q faz jornalismo? Primeira fofoca q globosta e outras ouve, logo dão como reportagem, sem ao menos ver a veracidade da noticia!",,,,1227624159104073728,https://twitter.com/Lucas1cma/status/1227624159104073728
2020-02-12 16:02:14,BruzacaDaniel,renataloprete,0,0,0,"Outra santa, nunca deu um furo de reportagem?",,,,1227623958322741248,https://twitter.com/BruzacaDaniel/status/1227623958322741248
2020-02-12 16:00:26,somdasaguas,JornalDaCidadeO,0,0,2,"Essa é a que deu o ""furo"" jornalístico?",,,,1227623505770008576,https://twitter.com/somdasaguas/status/1227623505770008576
